Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles
BRCA1	43.746	3.56972	0.149942	0.2	67.8351	1.82212	1	67.8351	0	0	0	133	11	226
PRKACG	3.73044	-3.26236	0.001	0.2	7.9458	-5	1	7.9458	0.000566667	0.000333333	0.000333333	1	1	15
RAD51C	3.5128	3.19346	0.001	0.2	5.50256	1.70681	1	5.50256	0.0007	0.00125	0.00125	14	1	21
PIP5K1B	3.16996	-2.25735	0.11986	0.2	10.0782	-2.89741	1	10.0782	0.001525	0.00025	0.00025	34	6	26
LRWD1	2.49947	2.84322	0.001	0.2	5.67068	5	1	5.67068	0.00165	0.00165	0.00165	3	1	6
ALKBH4	3.85025	2.62176	0.001	0.2	9.62821	5	1	9.62821	0.00165	0.00165	0.00165	2	2	9
TJP2	2.73814	-2.93102	0.001	0.2	5.05813	-1.9189	1	5.05813	0.0025	0.0025	0.0025	21	1	19
FBLIM1	3.07487	2.84096	0.001	0.2	6.02557	1.95129	1	6.02557	0.0026	0.007	0.0091	4	2	19
TMC2	5.29902	2.52328	0.001	0.2	9.29098	5	0.587498	9.33654	0.0026	0.0112	0.0112	25	5	25
FXN	3.07519	-3.04893	0.001	0.2	5.42159	-1.69559	1	5.42159	0.0029	0.0015	0.0015	9	1	25
DPY19L2	2.78087	-2.94634	0.001	0.2	-0.105361	-5	0.1	-18.4207	0.003	1	1	6	1	587
ZNF275	2.25159	2.51109	0.001	0.2	6.12164	5	1	6.12164	0.0035	0.0035	0.0035	7	2	5
YY1AP1	2.14996	-2.7065	0.001	0.2	5.29728	-5	1	5.29728	0.0048	0.0048	0.0048	4	1	9
TBL1X	5.06451	1.72443	0.001	0.2	7.34224	0.543722	1	7.34224	0.005	0.0116	0.0084	109	22	213
ADRA1A	2.49928	2.28895	0.001	0.2	4.69039	1.79674	1	4.69039	0.0051	0.0143	0.0139	19	4	15
JMJD1C	3.81127	2.22246	0.001	0.2	10.4602	5	1	10.4602	0.0053	0.0053	0.0053	14	4	12
NTRK2	1.79255	1.86561	0.001	0.2	7.00005	5	1	7.00005	0.0056	0.0056	0.0056	46	3	6
MTHFD2L	2.16458	-2.14234	0.001	0.2	6.39173	-2.07335	1	6.39173	0.0056	0.0017	0.0016	17	4	21
C19orf33	2.43793	2.81991	0.001	0.2	3.96372	1.21829	1	3.96372	0.0064	0.0064	0.0064	2	1	24
ANGPT2	2.59637	2.38769	0.001	0.2	5.92476	2.58183	1	5.92476	0.0068	0.0111	0.0068	4	2	13
