Chr	LD_start	LD_end	GWAS_start	GWAS_end	GWAS_pvalue
10	19427949	22483354	21532344	21532345	1.48398e-09
13	31727678	33202766	32394412	32394413	4.31956e-09
15	89932319	91621162	90992098	90992099	3.36121e-09
17	36141651	38653091	37740775	37740776	2.62623e-12
17	41743558	43694719	42854571	42854572	3.10992e-56
17	44979537	47798656	45963030	45963031	1.68784e-19
17	47798656	49440038	48391092	48391093	5.54297e-19
19	16263605	18299052	17279481	17279482	8.41132e-38
4	67989047	70183435	69726523	69726524	2.66027e-08
5	982137	2132328	1279674	1279675	1.09168e-19
9	103205694	104819468	104104421	104104422	2.94337e-09
9	18661053	20463536	19030884	19030885	2.53713e-10
