Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles	cnv_call
BRCA1	31.5246	3.39164	0.001	0.2	49.5124	2.07305	1	49.5124	0	0	0	133	9	138	del
FBLIM1	4.44945	2.86966	0.001	0.2	10.3434	5	1	10.3434	0.00085	0.00085	0.00085	4	2	15	del
NAT1	4.26787	2.06812	0.001	0.2	9.80221	2.70594	1	9.80221	0.0019	0.002	0.0025	81	7	15	del
ITGBL1	3.65404	2.01645	0.001	0.2	7.31069	1.5305	1	7.31069	0.0039	0.0056	0.0056	38	5	31	del
ANGPT2	2.83391	2.41342	0.001	0.2	7.64698	5	1	7.64698	0.0056	0.0056	0.0056	4	2	11	del
RARB	1.82721	1.49154	0.001	0.2	4.9881	1.75155	1	4.9881	0.0058	0.0063	0.0054	31	8	17	del
RAD51C	4.10665	2.40878	0.001	0.2	8.62654	1.77056	1	8.62654	0.006	0.0035	0.0043	14	3	30	del
BRCA2	1.37951	1.49402	0.001	0.2	3.6164	5	0.430371	3.21254	0.0062	0.0151	0.0195	96	10	18	del
CCDC85A	1.96995	1.79869	0.001	0.2	5.11706	2.53624	1	5.11706	0.0096	0.0723	0.0723	41	5	10	del
LTBP1	1.73155	1.53832	0.001	0.2	3.32495	1.18574	0.537467	1.47484	0.011	0.0207	0.0874	74	15	57	del
CRACR2A	1.34721	1.71773	0.001	0.2	5.201	5	1	5.201	0.0112	0.0112	0.0112	14	3	7	del
GH2	1.59217	-2.45965	0.001	0.2	3.29209	-1.08503	1	3.29209	0.0129	0.0129	0.0129	1	1	30	del
NBR1	1.76318	2.5401	0.001	0.2	4.36125	5	1	4.36125	0.0133	0.0133	0.0133	8	1	6	del
RORA	2.38934	1.52587	0.001	0.2	6.6526	1.76461	1	6.6526	0.0135	0.0134	0.0102	69	7	22	del
DPY19L2	1.57878	-2.45313	0.001	0.2	3.0496	-0.403598	1	3.0496	0.0141	0.0141	0.0141	6	1	175	del
ARHGAP24	1.42526	1.68719	0.001	0.2	3.85738	5	0.717545	3.7997	0.0172	0.0291	0.0404	14	5	9	del
MTHFD2L	1.27863	-2.15701	0.001	0.2	3.65928	-2.17925	1	3.65928	0.0174	0.0135	0.0141	13	2	11	del
ERC2	1.27213	1.78184	0.001	0.2	3.15025	0.779711	1	3.15025	0.0174	0.0212	0.0168	7	3	48	del
"PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4"	1.28472	-2.29996	0.001	0.2	2.92723	-1.21601	1	2.92723	0.0184	0.022	0.0234	1	1	24	del
"PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4"	1.28472	-2.29996	0.001	0.2	2.92723	-1.21601	1	2.92723	0.0184	0.022	0.0234	1	1	24	del
PCDHGB4	1.28472	-2.29996	0.001	0.2	2.92723	-1.21601	1	2.92723	0.0184	0.022	0.0234	1	1	24	del
MCPH1	2.64968	1.91089	0.001	0.2	5.75219	1.21671	1	5.75219	0.0187	0.0304	0.0246	50	5	37	del
