Chr	SNP position	CNV region start	CNV region end	SNP p-value	CNV type	SNP variant type	Genes at SNP	SNP EAF controls	SNP EAF cases	SNP log(OR)
chr1	15760669	15760668	15784320	5.41356E-05	del	intronic	FBLIM1	0	0.000420779	16.3332
chr1	15762861	15760668	15784320	5.41356E-05	del	intronic	FBLIM1	0	0.000420779	16.3332
chr1	15770742	15760668	15784320	5.41356E-05	del	intronic	FBLIM1	0	0.000420779	16.3332
chr17	43049093	43036324	43211632	2.57206E-07	del	intronic	BRCA1	2.88917E-05	0.0007268	3.35328
chr17	43049162	43036324	43211632	2.57206E-07	del	exonic	BRCA1	2.88917E-05	0.0007268	3.35328
chr17	43049181	43036324	43211632	2.57206E-07	del	exonic	BRCA1	2.88917E-05	0.0007268	3.35328
chr17	43049194	43036324	43211632	2.57206E-07	del	exonic	BRCA1	2.88917E-05	0.0007268	3.35328
chr4	180770585	180608560	181725297	9.67062E-05	del	intergenic	"NONE(dist=NONE),LINC00290(dist=293505)"	0	0.000382526	16.3839
chr4	180774299	180608560	181725297	9.67062E-05	del	intergenic	"NONE(dist=NONE),LINC00290(dist=289791)"	0	0.000382526	16.3839
chr9	6301578	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=43595),TPD52L3(dist=26771)"	0	0.000191263	17.0196
chr9	6301951	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=43968),TPD52L3(dist=26398)"	0	0.000191263	17.0196
chr9	6302569	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=44586),TPD52L3(dist=25780)"	0	0.000191263	17.0196
chr9	6304401	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=46418),TPD52L3(dist=23948)"	0	0.000191263	17.0196
chr9	6305904	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=47921),TPD52L3(dist=22445)"	0	0.000191263	17.0196
chr9	6306093	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=48110),TPD52L3(dist=22256)"	0	0.000191263	17.0196
chr9	6306896	6274891	6368793	0.000182508	del	intergenic	"IL33(dist=48913),TPD52L3(dist=21453)"	0	0.000191263	17.0196
chr16	69112269	68378124	70556995	0.000242268	dup	intronic	HAS3	0	0.000267768	15.8913
chr17	43082434	42604863	43751928	9.72229E-10	dup	exonic	BRCA1	0	0.000994568	17.2935
chr17	43082453	42604863	43751928	9.72229E-10	dup	exonic	BRCA1	0	0.000994568	17.2935
chr17	43082550	42604863	43751928	9.72229E-10	dup	exonic	BRCA1	0	0.000994568	17.2935
chr22	19981552	17691891	20321277	0.000380829	dup	exonic	ARVCF	0	0.000229516	16.0319
chr6	24221271	24090268	24261031	0.00036511	dup	intronic	DCDC2	0.00184907	0.000994568	-0.806157
chr6	24221295	24090268	24261031	0.00036511	dup	intronic	DCDC2	0.00184907	0.000994568	-0.806157
chr9	69064550	68803002	69647565	3.28988E-05	dup	intronic	FXN	0.000462267	0	-15.959
