Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles
BRCA1	61.2944	4.25173	0.351848	0.2	78.8039	2.03326	1	78.8039	0	0	0	133	10	191
RAD51C	7.09554	3.2048	0.001	0.2	9.84635	2.03252	1	9.84635	0.000433333	0.00113333	0.00113333	14	2	24
HAS3	7.30011	2.82844	0.001	0.2	10.3857	1.98303	1	10.3857	0.0012	0.0012	0.0012	9	3	24
LSP1	6.75257	2.72614	0.001	0.2	9.65704	1.00462	0.895603	9.63217	0.0014	0.0059	0.0058	38	11	87
ARHGAP24	3.956	1.87668	0.001	0.2	9.87695	2.29682	1	9.87695	0.0014	0.0057	0.0066	60	8	21
TBL1X	7.17438	2.00067	0.001	0.2	9.38478	0.665992	1	9.38478	0.002	0.0033	0.0026	107	21	182
NTRK2	2.34437	2.02321	0.001	0.2	8.07333	5	1	8.07333	0.0022	0.0022	0.0022	46	3	6
ZNF275	2.53225	2.51907	0.001	0.2	7.00373	5	1	7.00373	0.0026	0.0026	0.0026	7	2	5
DPY19L2	2.79385	-2.95097	0.001	0.2	4.39354	-0.294629	1	4.39354	0.0038	0.0013	0.0013	6	1	509
ANKK1	5.14694	2.57307	0.001	0.2	7.14077	1.18759	1	7.14077	0.0042	0.0072	0.0071	12	4	44
CRACR2A	1.95569	2.02066	0.001	0.2	4.38882	5	0.710139	4.04774	0.0045	0.0137	0.0137	19	4	8
BCKDHB	3.3428	2.42977	0.001	0.2	6.65706	2.52818	1	6.65706	0.0049	0.0049	0.0049	20	3	12
EVC2	3.20633	2.52418	0.001	0.2	7.60282	5	1	7.60282	0.0049	0.0049	0.0049	34	2	9
CHIC1	2.49566	2.84178	0.001	0.2	3.65873	1.41403	1	3.65873	0.0055	0.0084	0.0057	5	1	17
PLEKHG3	2.73095	2.58373	0.001	0.2	5.22695	2.37952	1	5.22695	0.0057	0.0017	0.0021	20	2	9
