Chr	Gene_start	Gene_end
9	16203935	16410990
9	15553043	16061663
8	81732448	81759515
17	45533963	45534710
17	44758988	44781846
17	46590669	46757464
17	46292733	46337794
17	46029916	46225389
17	45784280	45835828
17	45435900	45490749
17	46511511	46555650
17	46193576	46196723
17	46762506	46833154
17	45799390	45895680
19	17292131	17310236
1	37556919	37566857
3	156825481	157046129
9	133250401	133276024
19	39984134	40021038
2	176188668	176190907
2	176136612	176173102
17	48543551	48551250
17	48548870	48604912
17	48540894	48544989
17	47951967	47957883
17	47941506	47949308
10	103877569	103918184
15	90954870	90963125
