Chr	SNP position	CNV region start	CNV region end	SNP p-value	CNV type	SNP variant type	Genes at SNP	SNP EAF controls	SNP EAF cases	SNP log(OR)
chr17	43125337	43036324	43211632	2.34687E-08	del	UTR5	BRCA1	0	0.000921765	16.8521
chr17	43125356	43036324	43211632	2.34687E-08	del	UTR5	BRCA1	0	0.000921765	16.8521
chr17	43125483	43036324	43211632	2.34687E-08	del	UTR5	BRCA1	0	0.000921765	16.8521
chr4	180770585	180608560	181725297	0.000143361	del	intergenic	"NONE(dist=NONE),LINC00290(dist=293505)"	0	0.000403272	15.9936
chr4	180774299	180608560	181725297	0.000143361	del	intergenic	"NONE(dist=NONE),LINC00290(dist=289791)"	0	0.000403272	15.9936
chr11	1886379	1518156	2095833	0.000265524	dup	intronic	LSP1	0.000288917	0.00120982	1.35326
chr11	1886457	1518156	2095833	0.000265524	dup	intronic	LSP1	0.000288917	0.00120982	1.35326
chr16	69112269	68378124	70556995	9.62009E-05	dup	intronic	HAS3	0	0.000288052	16.506
chr17	43082434	42604863	43751928	1.02321E-11	dup	exonic	BRCA1	0	0.00132504	16.9211
chr17	43082453	42604863	43751928	1.02321E-11	dup	exonic	BRCA1	0	0.00132504	16.9211
chr17	43082550	42604863	43751928	1.02321E-11	dup	exonic	BRCA1	0	0.00132504	16.9211
chr7	38286640	38236775	38365370	4.29342E-05	dup	intergenic	"TARP(dist=12993),TRG-AS1(dist=54937)"	0	0.000460883	16.0291
chr9	69064550	68803002	69647565	0.00043125	dup	intronic	FXN	0.000462267	0	-15.6864
